,Region,year_month,Car CPI,Semiconductor PPI,DMA
108,"San Francisco-Oakland-Hayward, CA",2017-05-01,,56.0,San Francisco-Oakland-San Jose CA
109,Seattle-Tacoma-Bellevue WA,2017-05-01,,56.0,Seattle-Tacoma WA
110,"St. Louis, MO-IL",2017-05-01,,56.0,St. Louis MO
111,"Tampa-St. Petersburg-Clearwater, FL",2017-05-01,,56.0,Tampa-St. Petersburg (Sarasota) FL
112,Urban Alaska,2017-05-01,,56.0,Anchorage AK
113,Urban Hawaii,2017-05-01,,56.0,Honolulu HI
114,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017-05-01,,56.0,Washington DC (Hagerstown MD)
115,"Atlanta-Sandy Springs-Roswell, GA",2017-06-01,,56.0,Atlanta GA
116,"Baltimore-Columbia-Towson, MD",2017-06-01,,56.0,Baltimore MD
117,"Boston-Cambridge-Newton, MA-NH",2017-06-01,,56.0,Boston MA-Manchester NH
118,"Chicago-Naperville-Elgin, IL-IN-WI",2017-06-01,,56.0,Chicago IL
119,"Dallas-Fort Worth-Arlington, TX",2017-06-01,,56.0,Dallas-Ft. Worth TX
120,"Denver-Aurora-Lakewood, CO",2017-06-01,,56.0,Denver CO
121,"Detroit-Warren-Dearborn, MI",2017-06-01,,56.0,Detroit MI
122,"Houston-The Woodlands-Sugar Land, TX",2017-06-01,,56.0,Houston TX
123,"Los Angeles-Long Beach-Anaheim, CA",2017-06-01,,56.0,Los Angeles CA
124,"Miami-Fort Lauderdale-West Palm Beach, FL",2017-06-01,,56.0,Miami-Ft. Lauderdale FL
125,"Minneapolis-St.Paul-Bloomington, MN-WI",2017-06-01,,56.0,Minneapolis-St. Paul MN
126,"New York-Newark-Jersey City, NY-NJ-PA",2017-06-01,,56.0,New York NY
127,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017-06-01,,56.0,Philadelphia PA
128,"Phoenix-Mesa-Scottsdale, AZ",2017-06-01,,56.0,Phoenix AZ
129,"Riverside-San Bernardino-Ontario, CA",2017-06-01,,56.0,
130,"San Diego-Carlsbad, CA",2017-06-01,,56.0,San Diego CA
131,"San Francisco-Oakland-Hayward, CA",2017-06-01,,56.0,San Francisco-Oakland-San Jose CA
132,Seattle-Tacoma-Bellevue WA,2017-06-01,,56.0,Seattle-Tacoma WA
133,"St. Louis, MO-IL",2017-06-01,,56.0,St. Louis MO
134,"Tampa-St. Petersburg-Clearwater, FL",2017-06-01,,56.0,Tampa-St. Petersburg (Sarasota) FL
135,Urban Alaska,2017-06-01,,56.0,Anchorage AK
136,Urban Hawaii,2017-06-01,,56.0,Honolulu HI
137,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017-06-01,,56.0,Washington DC (Hagerstown MD)
