DMA,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Phoenix AZ,51.67,53.8,70.2,71.53,61.13,59.53,49.67,51.13,61.93,51.6,37.6,49.4
Pittsburgh PA,40.67,37.53,36.87,43.07,46.73,38.67,29.6,25.07,35.4,32.07,24.73,32.53
Portland OR,57.47,49.4,35.93,48.8,55.67,75.67,60.93,82.8,86.07,73.8,76.27,96.13
Portland-Auburn ME,37.0,24.33,54.27,26.93,34.8,14.6,29.8,30.53,21.4,39.6,20.93,28.6
Providence RI-New Bedford MA,43.67,35.8,38.2,61.87,68.53,49.0,46.33,37.87,47.53,42.73,44.0,35.93
Raleigh-Durham (Fayetteville) NC,33.33,31.93,44.07,48.0,47.2,37.53,28.8,38.0,44.67,43.33,34.4,37.73
Reno NV,42.92,31.73,63.67,85.6,77.0,73.07,58.53,48.07,67.4,48.33,44.33,49.8
Richmond-Petersburg VA,31.33,36.2,40.0,41.93,41.27,43.53,33.47,55.93,54.27,44.67,30.27,41.8
Roanoke-Lynchburg VA,21.8,49.13,34.07,13.33,9.07,46.67,31.47,36.93,46.8,33.73,24.2,44.07
Rochester NY,42.93,38.27,44.27,49.8,54.6,37.13,28.87,50.13,35.8,33.2,36.2,49.0
Sacramento-Stockton-Modesto CA,64.47,79.27,91.33,86.47,93.67,90.13,69.8,93.53,89.13,76.93,52.0,66.87
Salt Lake City UT,40.33,37.47,60.73,65.53,66.93,59.8,41.33,49.67,50.07,49.2,34.53,42.93
San Antonio TX,63.33,58.0,69.67,78.33,72.4,63.67,43.8,62.07,60.53,58.07,39.47,61.73
San Diego CA,66.73,65.6,94.2,88.8,75.4,83.47,56.47,71.8,82.4,63.67,49.2,59.6
San Francisco-Oakland-San Jose CA,64.13,72.73,80.67,82.4,82.87,72.67,58.67,66.93,77.73,62.93,58.4,70.47
Santa Barbara-Santa Maria-San Luis Obispo CA,52.67,40.27,41.13,77.2,36.93,62.67,30.87,50.47,63.2,32.27,35.6,40.4
Savannah GA,40.86,45.87,39.73,52.8,30.6,48.4,31.4,51.8,38.27,46.2,37.33,37.13
Seattle-Tacoma WA,62.0,67.53,71.67,85.27,81.47,85.2,57.47,67.6,80.2,63.87,54.87,78.93
Shreveport LA,44.69,18.83,55.93,40.73,42.77,51.53,52.67,52.53,49.47,30.13,35.6,49.6
Sioux Falls(Mitchell) SD,34.33,29.73,64.0,36.27,63.8,36.27,15.93,37.73,56.27,31.53,41.0,22.73
Spokane WA,59.8,60.67,75.73,80.73,53.07,57.6,58.2,59.07,52.0,38.47,37.47,53.33
Springfield MO,46.53,46.87,49.27,56.8,32.47,55.4,40.73,59.73,59.2,47.4,31.13,41.27
Springfield-Holyoke MA,49.4,35.93,40.93,48.07,30.33,47.13,31.13,47.07,53.67,40.67,33.93,48.8
St. Louis MO,41.87,43.0,59.2,73.27,70.33,61.2,51.2,54.67,73.93,66.07,46.47,76.53
Syracuse NY,23.87,26.07,46.73,34.8,27.2,28.47,19.93,36.73,42.93,34.27,26.87,41.2
Tampa-St. Petersburg (Sarasota) FL,42.27,35.0,48.8,61.13,62.4,65.67,46.93,57.13,52.73,50.4,33.73,43.47
Toledo OH,49.8,39.8,57.07,48.87,29.87,32.4,20.0,45.47,41.07,32.07,43.2,49.87
Tucson (Sierra Vista) AZ,64.27,47.53,53.73,59.8,57.73,56.13,54.0,49.87,64.33,43.93,25.53,54.73
Tulsa OK,65.73,41.13,75.73,45.87,51.2,85.4,43.13,96.4,96.0,70.27,51.33,56.27
Waco-Temple-Bryan TX,30.46,35.8,27.53,66.8,63.0,43.2,43.53,38.93,62.53,47.27,31.8,50.67
Washington DC (Hagerstown MD),46.13,40.87,51.13,49.6,44.73,47.0,33.0,36.6,41.53,39.73,33.13,40.93
West Palm Beach-Ft. Pierce FL,46.0,50.0,48.73,48.33,46.73,61.6,51.33,57.0,49.53,37.67,38.0,42.93
Wichita-Hutchinson KS,43.0,41.07,66.27,68.6,68.2,53.93,48.73,66.73,52.8,46.27,43.0,54.13
Wilkes Barre-Scranton PA,38.8,35.07,50.6,67.47,40.07,41.93,27.67,38.8,46.6,34.47,26.6,38.73
Yakima-Pasco-Richland-Kennewick WA,36.83,63.5,40.67,54.0,29.87,73.87,56.2,44.87,66.93,42.33,37.07,69.67
