State,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Kansas,2012,6.473393961339684,16.868503987483997,30.06963153672765,0.7284784649728219,-0.4450205344469261,3.361267955805891,10.315096987102201,6.089175885685661,0.3844938871689977,7.529180620983713,4.618606962819208,9.635833473381833,14.875349100241241,6.3134094850662095,77.43934744906711,5.633380170171922,10.942009525608084,0.7898042381852486,73.97392004697731,1.924774959579356,2885905
Kansas,2013,6.847821166658662,16.200689920410014,30.441606423315896,0.5752706323724314,-0.7370248042346544,3.0236800339466,10.097878388728317,6.369323237520079,0.3898942402539075,7.507264275177551,3.13822009062626,9.02497860196264,14.878135327735606,6.435859275034149,77.05484221085524,5.715668892108625,11.141285098569192,0.6816618215128973,73.97392004697731,1.93149590250411,2893957
Kansas,2014,7.039205295003032,16.799740773224435,30.14303271222901,0.7191329332455405,-1.208166904786944,2.6426117441988195,10.135944035770951,6.027152747728256,0.3945881433077635,7.478940407111382,3.6340456532297236,9.153790554544889,14.881606886305637,6.297612861614982,76.72065732307031,5.69090237295116,11.327638470933922,0.7404216429564386,75.12864200201933,2.7840202653973747,2904021
Kansas,2015,7.0654314869175145,16.140829175025356,30.053670765042806,0.4843638679175094,-1.742298114448557,2.374331176130574,9.89364707237073,5.469142177545156,0.39919656770582346,7.656987932234778,3.3994197583733934,9.006501831784893,14.884227397731712,6.311011556713207,76.37133149313394,5.780005158603001,11.55090892043353,0.7283865009456867,76.80027204470746,1.9497436986205245,2911641
Kansas,2016,7.069197455086164,16.378763858701355,30.91013655677162,0.7201236858129296,-2.135226790511671,2.30465564310944,9.633044460274476,5.084982353317297,0.40148645115396997,7.58235593365503,3.882890365448505,9.203625783332857,14.882731589804328,6.151538426348395,76.23879153396858,5.538733851364622,11.588424817759774,0.6327888283552134,80.74462787068165,1.9481334321559571,2907289
Kansas,2017,6.88460459788344,15.920508677457148,30.09351132787733,0.4186361162744692,-2.3465930635392747,2.1655110340346084,9.64292642138987,5.158182186977129,0.40606263954477373,7.420215349643665,4.24496880137384,9.055402054770774,14.884736259560956,5.879017123547478,75.88896864293064,5.531795258902559,11.860467271721792,0.6047461778991138,83.2904481289798,1.966836524553514,2913123
Kansas,2018,7.190839117846067,16.53324220078241,29.433558531483662,0.5008327959223948,-2.7761568830764354,1.9645132594426948,9.202864281882606,5.134073519862221,0.4098259401489893,7.402069716401455,3.6934879897707553,8.981078546870867,14.884182404909089,5.90872090427304,75.62199683325834,5.603003252607754,11.967776171127696,0.7259463302547475,84.64154126316383,1.990989123069539,2911510
Kansas,2019,7.170528133939562,15.536293032608226,29.019666263231496,0.09456931693514736,-2.8986559889488994,1.9475072031370462,9.531075813758589,4.82118965606604,0.41275081021735116,7.367691913744966,3.6594274676836216,9.113607390071925,14.884801822785983,5.41503593502108,75.39472229907247,5.542897195427613,12.178707822088523,0.6603476315975553,85.44849511872226,1.9870696433105017,2913314
Kansas,2020,7.060473677434209,15.377656490874076,28.472520727730505,-0.05824263689350212,-2.9470801428367492,2.065313724274691,9.25785824043321,4.879269741911051,0.4294255916376286,7.658752514542281,4.185511690302798,9.071085675981855,14.892532101606147,5.394182815483518,74.2229868504681,5.373712244398863,12.601492818950913,0.47770342672591437,87.74551603909714,1.9909144332185593,2935922
Kansas,2021,6.880400683981569,14.961619746866845,28.457920071751275,-0.19881437956774367,-2.6566916997730123,2.2311525116694644,9.412213358457876,5.108858645103734,0.44206274040307136,7.357981477430176,2.98105208767593,8.86565786882084,14.892075582021706,5.364375573761442,73.36482674534227,5.1465932797243354,12.735135702461204,0.364344904998395,90.00151851640948,1.9762110599762215,2934582
