Year,DMA,GT MVT
2016,El Paso TX,38.76
2016,Eugene OR,53.48
2016,Evansville IN,13.0
2016,Fargo-Valley City ND,32.0
2016,Flint-Saginaw-Bay City MI,28.34
2016,Florence-Myrtle Beach SC,36.31
2016,Fresno-Visalia CA,84.88
2016,Ft. Myers-Naples FL,61.18
2016,Ft. Smith-Fayetteville-Springdale-Rogers AR,35.42
2016,Ft. Wayne IN,20.5
2016,Grand Rapids-Kalamazoo-Battle Creek MI,36.61
2016,Green Bay-Appleton WI,37.42
2016,Greensboro-High Point-Winston Salem NC,52.52
2016,Greenville-New Bern-Washington NC,20.5
2016,Greenville-Spartanburg SC-Asheville NC-Anderson SC,58.36
2016,Harlingen-Weslaco-Brownsville-McAllen TX,33.12
2016,Harrisburg-Lancaster-Lebanon-York PA,30.12
2016,Hartford & New Haven CT,59.45
2016,Honolulu HI,52.06
2016,Houston TX,61.82
2016,Huntsville-Decatur (Florence) AL,38.82
2016,Indianapolis IN,47.85
2016,Jackson MS,44.11
2016,Jacksonville FL,55.52
2016,Johnstown-Altoona PA,23.0
2016,Joplin MO-Pittsburg KS,53.5
2016,Kansas City MO,76.09
2016,Knoxville TN,42.79
2016,La Crosse-Eau Claire WI,15.0
2016,Lafayette LA,34.0
2016,Lansing MI,27.03
2016,Las Vegas NV,75.09
2016,Lexington KY,39.0
2016,Lima OH,100.0
2016,Lincoln & Hastings-Kearney NE,53.12
2016,Little Rock-Pine Bluff AR,48.61
2016,Los Angeles CA,81.06
2016,Louisville KY,64.42
2016,Lubbock TX,48.0
2016,Macon GA,30.5
2016,Madison WI,43.33
2016,Medford-Klamath Falls OR,25.0
2016,Memphis TN,66.73
2016,Miami-Ft. Lauderdale FL,62.73
2016,Milwaukee WI,72.61
2016,Minneapolis-St. Paul MN,38.55
2016,Minot-Bismarck-Dickinson(Williston) ND,40.5
2016,Mobile AL-Pensacola (Ft. Walton Beach) FL,43.3
2016,Monroe LA-El Dorado AR,60.0
2016,Monterey-Salinas CA,83.64
2016,Montgomery (Selma) AL,39.5
2016,Nashville TN,48.39
2016,New Orleans LA,55.18
2016,New York NY,43.91
2016,Norfolk-Portsmouth-Newport News VA,52.42
2016,Odessa-Midland TX,43.5
2016,Oklahoma City OK,58.27
2016,Omaha NE,69.73
2016,Orlando-Daytona Beach-Melbourne FL,58.45
2016,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,31.27
2016,Palm Springs CA,40.5
2016,Panama City FL,34.0
2016,Peoria-Bloomington IL,26.66
2016,Philadelphia PA,48.97
2016,Phoenix AZ,57.55
2016,Pittsburgh PA,37.55
2016,Portland OR,73.15
