DMA,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Kansas City MO,2015,6.1,16.0,31.0,0.6,-2.1,2.5,10.2,5.7,0.4,6.8,4.0,9.4,14.7,6.0,75.3,10.8,8.2,0.4,81.2,1.8,2472559
Kansas City MO,2016,6.4,16.1,31.5,0.7,-2.2,2.5,10.6,5.5,0.4,6.8,4.1,9.6,14.7,5.5,74.9,10.7,8.3,0.4,84.7,1.9,2489664
Kansas City MO,2017,6.3,15.7,31.4,0.5,-2.6,2.2,10.3,5.0,0.4,6.7,3.9,9.7,14.7,5.8,74.5,10.8,8.5,0.4,86.8,1.9,2513636
Kansas City MO,2018,6.6,15.8,30.7,0.5,-3.1,2.1,10.1,4.7,0.4,6.6,3.6,9.4,14.7,5.4,74.3,10.6,8.6,0.4,88.3,1.9,2528386
Kansas City MO,2019,6.6,15.3,30.8,0.3,-3.3,1.9,10.0,5.0,0.4,6.6,4.0,9.5,14.7,5.1,74.1,10.6,8.7,0.4,89.4,1.9,2542866
Kansas City MO,2020,6.4,14.6,29.8,-0.1,-3.5,2.2,9.6,4.4,0.4,6.9,3.7,9.5,14.8,4.8,73.0,10.5,9.0,0.2,90.9,1.9,2573316
Kansas City MO,2021,6.4,14.7,29.2,-0.2,-3.6,2.4,9.2,4.4,0.5,6.7,3.7,9.1,14.8,4.7,72.3,10.4,9.1,0.2,92.3,1.9,2581898
Kansas City MO,2022,6.3,14.0,29.4,-0.4,-4.1,1.8,9.4,4.2,0.5,6.8,4.1,9.7,14.8,4.7,72.1,10.2,9.4,0.2,92.4,1.9,2591881
Knoxville TN,2011,3.5,13.7,27.7,-0.8,2.5,4.3,9.5,8.7,0.2,6.8,5.2,10.3,14.1,12.5,90.6,4.4,3.6,0.2,73.4,1.9,1338136
Knoxville TN,2012,3.5,13.7,28.2,-0.7,2.3,4.3,9.1,9.2,0.2,6.6,4.8,10.7,14.1,11.8,90.2,4.4,3.7,0.2,73.4,1.9,1345808
Knoxville TN,2013,3.4,13.2,28.9,-0.8,2.4,4.5,9.4,9.2,0.2,6.8,3.4,10.9,14.1,11.4,90.0,4.3,3.8,0.2,73.4,1.9,1351988
Knoxville TN,2014,3.6,14.6,28.9,-0.3,2.2,4.0,9.5,9.6,0.2,6.8,3.6,11.1,14.1,11.4,89.7,4.3,3.8,0.2,74.7,2.3,1359045
Knoxville TN,2015,3.4,14.5,29.7,-0.2,1.5,3.4,10.0,9.2,0.2,6.7,3.3,10.9,14.1,11.0,89.3,4.2,3.9,0.2,75.6,1.9,1363738
Knoxville TN,2016,3.3,13.7,29.2,-0.6,0.7,3.1,9.5,8.7,0.2,6.7,3.4,11.0,14.1,10.4,89.1,4.3,4.0,0.2,82.0,1.9,1371140
Knoxville TN,2017,3.7,13.6,29.6,-0.5,0.4,2.7,9.9,8.7,0.2,6.6,3.2,10.8,14.1,10.2,88.7,4.3,4.1,0.2,83.0,1.9,1379530
Knoxville TN,2018,3.4,14.1,28.6,-0.5,-0.2,2.7,9.3,8.1,0.2,6.5,3.2,10.2,14.1,9.8,88.5,4.2,4.2,0.2,84.2,2.0,1386044
Knoxville TN,2019,3.8,14.1,28.2,-0.6,-0.4,2.3,9.7,8.0,0.2,6.4,3.1,11.0,14.1,9.8,88.1,4.0,4.3,0.3,83.8,2.0,1396074
Knoxville TN,2020,3.8,12.5,26.8,-1.4,-1.6,2.3,9.2,6.7,0.2,6.6,3.5,10.6,14.2,8.3,87.1,4.0,4.5,0.1,86.3,2.0,1417343
Knoxville TN,2021,3.4,11.9,27.1,-1.6,-1.5,2.5,9.1,6.5,0.2,6.4,3.2,10.9,14.2,8.5,86.9,3.5,4.5,0.2,88.7,2.0,1421136
Knoxville TN,2022,4.1,11.8,26.0,-1.8,-2.6,1.7,8.9,6.3,0.2,6.7,3.3,10.5,14.2,7.9,86.6,4.1,4.6,0.1,90.2,2.0,1437065
La Crosse-Eau Claire WI,2011,2.5,14.9,24.5,-1.0,-1.6,3.6,8.8,5.4,0.1,8.6,4.8,8.1,13.3,6.5,93.8,1.1,2.3,0.5,81.1,1.9,601972
La Crosse-Eau Claire WI,2012,2.6,15.2,24.8,-0.8,-2.5,3.3,7.8,5.3,0.2,8.2,4.8,7.8,13.3,6.2,93.4,1.1,2.4,0.5,81.1,1.9,604559
La Crosse-Eau Claire WI,2013,2.2,15.4,25.0,-0.7,-2.2,3.5,8.2,5.3,0.2,8.1,4.8,8.3,13.3,6.1,93.1,1.1,2.5,0.5,81.1,1.9,606162
La Crosse-Eau Claire WI,2014,2.5,14.7,26.5,-0.7,-2.5,3.0,8.5,5.3,0.2,8.2,4.9,8.6,13.3,6.2,92.7,1.1,2.5,0.5,80.3,2.2,608204
La Crosse-Eau Claire WI,2015,2.5,15.9,25.3,-0.5,-3.4,2.4,8.1,5.1,0.2,8.0,4.8,8.5,13.3,5.9,92.4,1.1,2.6,0.5,81.8,1.9,609267
La Crosse-Eau Claire WI,2016,2.7,15.6,25.4,-0.6,-3.4,2.5,8.1,4.9,0.2,8.2,5.3,8.5,13.3,5.5,92.2,1.1,2.7,0.5,84.6,1.9,610398
La Crosse-Eau Claire WI,2017,2.7,15.7,26.7,-0.3,-3.9,1.9,8.7,4.6,0.2,8.1,5.1,8.6,13.3,5.6,91.9,1.1,2.7,0.5,85.9,2.0,610635
La Crosse-Eau Claire WI,2018,2.5,14.5,26.2,-0.8,-4.7,1.9,7.7,4.1,0.2,8.3,5.2,8.5,13.3,5.1,91.7,1.1,2.8,0.5,87.4,2.0,611760
La Crosse-Eau Claire WI,2019,2.5,15.0,24.5,-1.0,-5.1,1.7,7.6,3.8,0.2,7.9,5.0,9.3,13.3,4.8,91.6,1.2,2.9,0.5,88.9,2.0,612448
La Crosse-Eau Claire WI,2020,2.6,13.8,25.1,-1.3,-5.5,1.6,7.3,3.4,0.2,8.0,5.7,9.2,13.3,4.5,90.4,1.1,3.1,0.4,89.9,1.9,620359
La Crosse-Eau Claire WI,2021,2.7,13.9,25.1,-1.2,-5.2,1.5,7.7,4.0,0.2,7.9,5.1,9.3,13.3,4.6,90.3,0.9,3.1,0.4,90.9,1.9,621663
La Crosse-Eau Claire WI,2022,2.8,13.2,24.6,-1.6,-5.5,1.6,7.0,3.9,0.2,8.1,5.7,9.0,13.3,4.4,90.1,1.2,3.2,0.4,91.3,1.9,622130
Lafayette IN,2011,10.2,28.2,40.3,6.5,-2.0,3.4,8.7,6.3,0.4,15.1,0.8,7.9,12.1,5.3,83.6,5.8,9.1,0.2,76.6,1.7,183539
Lafayette IN,2012,10.0,26.7,35.9,5.2,-1.3,4.0,9.4,5.9,0.4,15.0,0.8,8.0,12.1,5.3,82.3,5.7,9.0,0.2,76.6,1.8,186329
Lafayette IN,2013,10.0,25.3,40.1,5.5,-1.5,3.6,9.3,6.8,0.4,15.3,0.8,8.5,12.1,5.0,81.2,5.6,8.9,0.2,76.6,1.8,188997
Lafayette IN,2014,10.0,25.3,40.7,5.6,-1.0,3.4,10.7,7.0,0.4,14.7,0.8,9.5,12.2,5.1,79.9,5.5,8.8,0.2,77.0,2.6,191884
Lafayette IN,2015,11.7,26.8,38.6,5.7,-3.2,2.4,8.8,5.3,0.4,14.8,0.9,8.8,12.2,5.3,78.8,5.4,8.7,0.2,78.0,1.7,194578
Lafayette IN,2016,10.8,27.2,35.7,5.3,-2.7,2.3,10.2,5.9,0.4,15.0,0.8,7.6,12.2,4.7,77.9,5.4,8.6,0.2,84.5,1.8,196768
Lafayette IN,2017,11.7,28.5,33.2,5.4,-3.8,2.0,9.5,4.9,0.4,14.5,0.8,7.7,12.2,4.1,76.9,5.3,8.5,0.2,88.7,1.8,199272
Lafayette IN,2018,11.0,25.0,38.2,5.0,-3.0,2.6,10.4,4.5,0.4,15.4,0.8,8.4,12.2,4.4,75.9,5.2,8.4,0.2,86.9,1.8,201715
Lafayette IN,2019,11.8,21.6,38.0,3.8,-5.0,1.4,8.4,3.3,0.4,14.9,0.8,9.0,12.2,5.3,73.2,5.3,8.3,0.2,83.9,1.7,204409
Lafayette IN,2020,11.4,22.9,37.7,4.2,-4.3,1.8,8.5,4.7,0.4,15.0,0.8,8.1,12.2,4.6,74.6,5.7,8.8,0.1,87.1,1.7,195664
Lafayette IN,2021,9.4,22.4,34.5,3.4,-5.0,1.6,7.9,4.6,0.4,14.0,0.8,7.7,12.2,4.2,73.9,5.3,9.0,0.1,90.4,1.8,195763
Lafayette IN,2022,11.9,26.0,37.2,5.2,-4.8,1.5,7.2,5.5,0.4,15.0,0.8,7.8,12.2,4.9,73.9,6.3,9.2,0.4,92.8,1.8,197426
Lafayette LA,2011,2.7,12.4,28.6,-1.1,5.0,3.7,14.4,10.5,0.5,7.3,6.7,9.0,13.3,13.2,67.0,26.5,3.2,0.2,69.6,1.7,618315
Lafayette LA,2012,2.6,13.9,28.0,-0.7,5.7,3.6,15.8,10.9,0.5,7.3,6.1,8.7,13.3,13.4,66.6,26.4,3.2,0.2,69.6,1.7,622229
Lafayette LA,2013,2.8,13.2,28.0,-1.0,4.8,3.5,14.6,10.3,0.5,7.0,6.4,8.6,13.3,13.2,66.2,26.2,3.3,0.2,69.6,1.7,626268
Lafayette LA,2014,3.0,14.1,29.9,-0.3,4.3,3.2,13.9,9.8,0.5,6.9,6.2,8.8,13.4,13.8,66.0,26.2,3.3,0.2,73.6,2.3,632174
Lafayette LA,2015,2.5,14.3,30.4,-0.1,5.0,3.5,14.7,10.7,0.5,7.0,5.9,9.5,13.4,13.3,65.8,26.1,3.5,0.2,74.8,1.7,637650
Lafayette LA,2016,3.0,13.8,29.0,-0.6,4.7,3.1,15.2,11.0,0.5,6.9,5.9,9.2,13.4,12.2,65.8,26.2,3.6,0.2,78.5,1.7,638999
Lafayette LA,2017,2.7,13.2,29.3,-0.7,3.7,3.3,13.2,10.6,0.5,6.6,6.5,8.9,13.4,11.7,65.8,26.3,3.6,0.3,77.9,1.7,639370
Lafayette LA,2018,3.0,14.4,30.5,-0.1,3.4,3.2,12.8,10.9,0.5,7.2,6.1,8.8,13.4,11.6,65.9,26.5,3.7,0.3,80.6,1.7,637777
Lafayette LA,2019,2.8,11.5,30.1,-1.2,3.2,2.9,13.9,10.4,0.5,6.5,6.0,8.6,13.4,10.9,66.0,26.6,3.7,0.3,82.7,1.7,637428
Lafayette LA,2020,3.0,11.6,28.6,-1.4,2.7,2.9,13.0,10.5,0.5,6.5,5.8,8.4,13.3,10.3,65.1,26.0,3.9,0.1,84.9,1.7,627051
Lafayette LA,2021,3.2,12.5,29.3,-1.0,3.7,3.5,13.9,11.1,0.5,6.6,5.4,8.4,13.4,10.0,64.9,26.4,3.8,0.2,86.9,1.7,628256
Lafayette LA,2022,2.6,10.6,28.6,-1.8,2.4,2.8,12.5,10.8,0.5,6.8,5.8,8.3,13.4,10.4,64.8,25.6,4.0,0.2,86.0,1.7,629310
Lake Charles LA,2011,1.9,18.0,26.2,0.4,4.0,4.5,13.6,9.4,0.5,6.8,7.3,9.7,12.5,10.3,73.6,23.6,4.2,0.4,67.1,1.8,262333
Lake Charles LA,2012,2.3,15.9,25.9,-0.4,3.6,3.7,14.7,9.1,0.5,7.0,7.6,10.2,12.5,10.2,73.5,23.4,4.3,0.4,67.1,1.7,262829
Lake Charles LA,2013,2.5,15.9,27.4,-0.1,4.3,4.1,15.6,8.2,0.5,7.2,7.2,10.4,12.5,10.9,73.2,23.4,4.3,0.4,67.1,1.7,263650
Lake Charles LA,2014,2.9,17.9,28.8,0.8,2.3,3.2,12.2,9.2,0.5,6.7,7.0,10.5,12.5,10.8,72.6,23.2,4.3,0.4,69.0,2.5,265717
Lake Charles LA,2015,3.1,15.3,28.7,-0.1,2.5,3.0,13.9,9.1,0.5,6.8,7.2,9.8,12.5,10.0,72.1,23.1,4.3,0.4,69.0,1.8,267406
Lake Charles LA,2016,2.3,14.6,29.7,-0.2,3.3,3.2,13.9,10.5,0.5,7.1,6.4,11.0,12.5,10.3,71.7,22.9,4.3,0.4,71.6,1.8,269394
Lake Charles LA,2017,3.1,11.7,24.3,-2.2,-0.2,2.9,11.2,6.6,0.5,6.6,5.4,9.5,12.5,8.3,71.2,22.6,4.3,0.4,76.9,1.8,271516
Lake Charles LA,2018,2.9,11.7,28.1,-1.5,0.6,2.3,12.6,7.7,0.5,6.4,5.1,10.1,12.5,9.4,71.0,22.5,4.4,0.4,77.4,1.8,272410
Lake Charles LA,2019,2.8,13.0,30.2,-0.6,3.1,2.7,15.0,10.5,0.5,6.7,4.0,10.2,12.5,9.8,70.9,22.5,4.5,0.4,82.6,1.8,273027
Lake Charles LA,2020,3.1,12.1,25.6,-1.8,0.3,2.7,11.6,8.2,0.5,6.6,3.4,9.8,12.5,8.1,68.7,21.8,4.3,0.3,82.9,1.8,275568
Lake Charles LA,2021,4.0,14.7,22.7,-1.4,0.3,2.2,11.9,9.4,0.5,6.8,3.4,9.1,12.5,7.9,69.0,21.4,4.4,0.3,83.3,1.8,270434
Lake Charles LA,2022,3.5,14.8,25.2,-0.9,0.7,2.5,13.2,8.9,0.5,6.7,3.4,9.0,12.5,7.1,67.6,21.8,4.5,0.3,85.7,1.8,267216
Lansing MI,2011,5.0,19.7,28.8,1.5,0.5,5.3,9.5,6.7,0.3,9.2,6.1,9.8,13.4,6.0,81.2,7.6,5.4,0.3,75.0,1.7,671718
Lansing MI,2012,4.4,19.0,28.8,1.2,1.5,5.3,10.8,8.3,0.3,9.0,6.2,10.4,13.4,5.7,81.1,7.9,5.4,0.4,75.0,1.8,672658
Lansing MI,2013,4.8,19.0,30.4,1.5,0.9,5.0,10.7,7.8,0.3,9.0,6.3,9.6,13.4,5.5,80.7,7.6,5.5,0.4,75.0,1.7,674153
Lansing MI,2014,5.1,19.2,28.6,1.2,-0.7,3.8,10.6,6.4,0.3,9.0,5.5,9.1,13.4,5.4,80.3,8.1,5.5,0.3,76.8,2.6,676481
Lansing MI,2015,4.9,18.1,29.7,1.1,-1.8,3.2,9.2,6.6,0.4,8.8,4.8,9.8,13.4,5.3,79.9,7.7,5.6,0.3,76.3,1.8,677948
Lansing MI,2016,5.4,19.4,28.7,1.3,-1.7,3.3,10.1,5.7,0.4,8.8,4.6,10.5,13.4,5.3,79.6,7.8,5.6,0.3,82.0,1.8,679583
Lansing MI,2017,6.4,18.7,27.7,0.9,-2.3,2.8,10.0,5.9,0.4,8.6,4.3,9.9,13.4,4.9,79.3,7.7,5.7,0.3,84.3,1.8,682205
Lansing MI,2018,5.6,16.5,28.7,0.3,-2.5,2.8,9.8,5.3,0.4,8.5,4.1,10.0,13.4,5.0,78.7,7.8,5.8,0.3,85.0,1.8,686546
Lansing MI,2019,6.2,16.1,26.7,-0.2,-3.5,2.4,9.2,4.6,0.4,8.5,3.8,10.8,13.4,4.7,78.4,7.8,5.9,0.5,87.0,1.8,686536
Lansing MI,2020,5.5,15.4,25.5,-0.6,-3.1,2.9,9.2,4.6,0.4,8.5,3.5,10.0,13.4,4.4,77.9,7.9,6.0,0.3,88.8,1.8,677196
Lansing MI,2021,5.2,14.8,24.6,-1.0,-2.9,3.2,9.0,4.5,0.4,8.1,3.4,10.2,13.4,4.6,77.4,7.9,6.1,0.2,90.6,1.8,678127
Lansing MI,2022,5.2,15.0,23.8,-1.1,-3.2,2.5,9.1,5.0,0.4,8.5,3.5,10.3,13.4,4.8,76.8,7.0,6.2,0.3,90.4,1.7,678612
Laredo TX,2011,27.6,17.6,35.0,1.9,13.2,2.0,20.8,23.8,0.1,8.5,9.5,5.2,12.5,19.7,4.0,0.3,97.2,0.3,51.8,1.8,270349
Laredo TX,2012,27.1,12.4,35.2,0.1,12.8,2.1,19.9,23.0,0.1,8.5,7.0,6.1,12.5,20.1,3.9,0.3,96.3,0.2,51.8,1.7,273186
Laredo TX,2013,25.5,9.1,31.3,-1.8,12.8,2.7,19.1,23.5,0.1,8.3,4.0,5.5,12.5,19.1,3.9,0.3,95.2,0.2,51.8,1.9,276659
Laredo TX,2014,26.3,14.5,36.3,1.0,13.8,2.7,21.7,23.1,0.1,8.6,6.1,6.1,12.5,19.3,3.7,0.3,95.2,0.1,56.7,2.7,280904
Laredo TX,2015,26.8,10.1,36.5,-0.5,11.7,2.5,19.3,20.7,0.1,8.4,7.8,7.2,12.6,18.8,3.7,0.3,94.2,0.1,57.6,1.9,284029
Laredo TX,2016,28.3,8.8,33.4,-1.5,12.3,2.0,19.3,24.0,0.1,8.5,3.9,5.5,12.6,18.5,3.6,0.3,93.8,0.1,59.5,1.8,285528
Laredo TX,2017,27.5,11.5,36.4,-0.0,10.6,1.7,20.6,19.7,0.1,8.5,5.5,6.3,12.6,17.5,3.5,0.3,92.7,0.1,63.7,1.9,289209
Laredo TX,2018,23.9,9.9,35.8,-0.7,11.0,2.3,20.0,18.2,0.1,8.7,7.0,6.7,12.6,19.2,3.4,0.3,92.4,0.0,72.0,1.9,290279
Laredo TX,2019,24.4,13.6,35.8,0.6,8.9,2.1,18.4,14.8,0.1,8.4,2.7,5.6,12.6,19.3,3.3,0.3,92.3,0.0,80.5,1.9,290956
Laredo TX,2020,24.9,9.9,33.1,-1.2,9.5,2.7,19.2,15.6,0.1,8.7,3.6,5.8,12.5,17.5,3.4,0.4,95.4,0.0,82.0,1.9,281178
Laredo TX,2021,25.6,10.5,31.8,-1.2,8.3,2.7,17.6,15.5,0.1,8.4,3.4,6.2,12.5,16.0,2.9,0.3,95.4,0.0,83.5,1.9,281890
Laredo TX,2022,25.0,9.3,32.7,-1.5,7.9,1.7,18.9,14.8,0.1,8.8,3.4,5.2,12.5,16.7,3.5,0.4,95.3,0.3,86.2,2.0,281676
Las Vegas NV,2011,21.4,23.5,45.5,5.8,5.8,6.7,13.3,8.4,0.7,6.8,7.6,11.0,14.5,11.2,48.2,9.9,29.3,0.5,76.7,1.6,2019204
Las Vegas NV,2012,21.5,23.7,47.5,6.2,5.5,6.5,14.0,8.2,0.7,6.7,6.9,11.5,14.5,10.3,47.4,10.1,29.4,0.5,76.7,1.6,2049842
Las Vegas NV,2013,21.4,21.1,47.2,5.3,4.1,5.7,12.5,7.8,0.7,6.7,5.4,10.5,14.5,10.4,46.7,10.2,29.6,0.4,76.7,1.7,2076532
Las Vegas NV,2014,21.9,20.5,48.2,5.3,3.0,4.8,12.4,7.3,0.7,6.6,5.0,11.2,14.6,10.5,45.9,10.4,29.9,0.4,76.6,2.5,2117901
Las Vegas NV,2015,21.8,20.0,47.1,4.8,2.4,4.2,12.5,7.4,0.7,6.4,6.6,11.1,14.6,10.1,45.1,10.3,30.2,0.5,79.4,1.7,2162620
Las Vegas NV,2016,22.5,17.4,46.3,3.8,1.5,3.5,12.4,6.9,0.7,6.4,6.8,11.5,14.6,9.9,44.2,10.8,30.5,0.4,80.7,1.7,2204017
Las Vegas NV,2017,22.8,18.1,43.9,3.6,0.8,3.1,12.1,6.6,0.7,6.3,4.8,11.0,14.6,9.6,43.1,11.2,30.9,0.5,83.6,1.7,2252578
Las Vegas NV,2018,21.9,16.8,43.0,3.0,0.7,3.0,12.3,6.3,0.7,6.1,5.0,11.4,14.6,9.7,42.7,11.1,31.1,0.5,85.6,1.7,2280526
Las Vegas NV,2019,22.3,17.7,43.0,3.3,0.0,2.7,11.8,6.1,0.7,6.1,4.2,11.1,14.7,9.4,42.0,11.7,31.3,0.5,84.9,1.7,2316275
Las Vegas NV,2020,21.5,15.5,41.3,2.2,1.4,3.9,12.3,6.3,0.7,6.3,4.9,10.8,14.7,9.4,40.5,11.3,31.6,0.4,88.3,1.8,2322131
Las Vegas NV,2021,21.0,14.5,40.6,1.8,3.0,5.5,11.8,7.4,0.7,6.1,5.6,10.3,14.7,9.3,39.5,11.0,31.9,0.4,91.5,1.7,2347172
Las Vegas NV,2022,21.4,13.6,39.9,1.3,0.5,2.9,12.2,6.4,0.7,6.3,4.9,10.5,14.7,9.2,38.5,11.4,32.2,0.3,92.1,1.8,2379190
Lexington KY,2011,3.2,17.0,30.1,0.7,4.3,4.5,10.9,10.5,0.2,7.6,5.2,10.6,14.0,13.4,88.8,5.8,3.3,0.2,77.6,1.8,1246063
Lexington KY,2012,3.2,16.5,31.5,0.8,4.3,4.5,11.3,10.4,0.2,7.6,4.9,10.7,14.0,13.2,88.5,5.7,3.3,0.2,77.6,1.8,1253079
Lexington KY,2013,3.5,17.1,32.2,1.2,4.3,4.6,11.3,10.7,0.2,7.4,4.5,10.6,14.0,12.7,88.3,5.8,3.4,0.2,77.6,1.8,1258346
Lexington KY,2014,3.5,17.8,32.5,1.5,4.0,4.4,11.2,11.0,0.2,7.5,4.7,11.0,14.1,12.1,88.0,5.8,3.4,0.2,77.3,2.1,1264543
Lexington KY,2015,3.7,17.4,33.4,1.5,3.5,3.8,11.3,11.0,0.2,7.4,4.8,11.0,14.1,12.0,87.7,5.7,3.4,0.1,79.4,1.8,1270756
Lexington KY,2016,3.8,17.2,32.6,1.3,3.3,3.7,11.5,10.9,0.2,7.4,4.0,10.6,14.1,11.5,87.3,5.8,3.5,0.2,83.9,1.8,1279332
Lexington KY,2017,3.7,17.2,32.5,1.3,2.1,3.2,11.0,10.1,0.2,7.3,3.8,10.8,14.1,10.8,87.0,5.7,3.6,0.2,86.3,1.8,1285635
Lexington KY,2018,4.0,16.9,32.7,1.2,1.7,2.9,11.2,9.8,0.2,7.3,3.9,10.8,14.1,10.6,86.7,5.8,3.7,0.2,88.9,1.8,1291872
Lexington KY,2019,4.1,16.4,32.6,1.0,1.2,2.8,11.1,9.2,0.2,7.2,4.0,11.0,14.1,10.1,86.6,5.9,3.7,0.2,87.5,1.8,1294361
Lexington KY,2020,3.9,14.5,30.7,-0.0,0.2,2.5,10.8,8.5,0.3,7.3,4.0,10.7,14.1,9.0,85.8,5.7,3.9,0.1,89.0,1.9,1304768
Lexington KY,2021,4.0,15.0,30.2,0.1,0.1,2.7,10.2,8.4,0.3,7.3,4.0,10.7,14.1,9.4,85.7,5.3,3.8,0.2,90.4,1.9,1304737
Lexington KY,2022,3.9,14.1,30.4,-0.2,-0.0,2.5,10.7,8.3,0.3,7.3,4.0,10.8,14.1,8.9,85.4,5.6,3.9,0.1,90.5,1.9,1306721
Lima OH,2011,1.5,15.3,26.0,-0.6,3.5,5.8,13.5,8.0,0.3,7.7,3.3,9.6,11.9,7.0,84.9,9.1,2.3,0.3,68.7,1.9,152080
Lima OH,2012,1.1,15.9,27.0,-0.2,0.6,3.8,11.9,7.7,0.3,7.6,3.6,10.3,11.9,6.2,85.4,9.1,2.3,0.2,68.7,1.9,151075
Lima OH,2013,1.2,16.4,29.5,0.4,0.6,4.6,11.1,6.1,0.3,7.6,3.5,9.2,11.9,7.0,85.2,9.1,2.4,0.2,68.7,1.9,151204
Lima OH,2014,0.9,15.8,29.6,0.2,0.7,4.3,11.1,6.7,0.3,7.4,3.5,9.1,11.9,7.3,85.3,9.1,2.4,0.2,70.1,2.5,150907
Lima OH,2015,1.2,12.6,27.4,-1.3,-1.2,2.6,11.8,6.5,0.3,7.2,4.0,10.1,11.9,5.6,85.6,9.2,2.4,0.3,76.3,1.9,150298
Lima OH,2016,1.7,13.5,29.5,-0.6,-0.7,3.0,11.4,6.3,0.3,7.3,3.9,9.0,11.9,6.9,85.5,8.9,2.5,0.2,78.2,1.9,149613
Lima OH,2017,1.2,13.9,28.0,-0.7,-0.9,2.4,12.0,6.8,0.3,6.9,3.8,8.8,11.9,6.2,85.4,8.5,2.6,0.2,82.5,1.9,148976
Lima OH,2018,1.3,16.0,29.5,0.3,-1.9,2.2,12.3,4.9,0.3,7.7,3.8,9.9,11.9,5.6,85.2,8.2,2.8,0.2,85.0,1.9,148447
Lima OH,2019,1.1,10.7,25.7,-2.2,-1.6,1.9,12.8,5.6,0.3,7.1,4.1,10.3,11.9,5.8,85.0,7.9,2.8,0.2,88.1,2.0,148080
Lima OH,2020,1.4,11.5,27.3,-1.7,-2.5,2.5,11.2,4.5,0.3,7.0,3.9,10.3,11.9,5.1,84.5,7.6,3.0,0.1,88.4,1.9,148350
Lima OH,2021,2.0,11.6,27.6,-1.6,-1.2,3.1,11.3,6.7,0.3,7.2,4.3,9.1,11.9,4.6,84.1,6.5,3.1,0.4,88.7,2.0,147952
Lima OH,2022,1.7,10.7,28.2,-1.8,-2.8,2.4,9.6,6.4,0.3,7.5,3.9,10.7,11.9,4.3,84.3,8.0,3.1,0.1,90.9,1.9,147378
Lincoln & Hastings-Kearney NE,2011,5.7,17.2,27.7,0.4,-2.0,3.0,9.6,5.7,0.2,8.0,4.0,8.3,13.5,5.9,87.1,1.8,7.3,0.5,80.2,2.0,710785
Lincoln & Hastings-Kearney NE,2012,5.4,17.4,29.0,0.7,-2.9,2.8,8.4,5.3,0.2,7.8,3.6,8.1,13.5,5.9,86.7,1.9,7.7,0.4,80.2,2.0,714890
Lincoln & Hastings-Kearney NE,2013,5.8,16.7,28.9,0.4,-2.7,2.6,8.7,5.7,0.3,7.9,3.4,8.0,13.5,5.9,86.2,2.1,8.0,0.4,80.2,2.0,719404
Lincoln & Hastings-Kearney NE,2014,6.3,17.5,29.5,0.8,-2.7,2.3,9.2,5.7,0.3,7.9,3.3,8.2,13.5,6.0,85.6,2.2,8.2,0.2,81.6,2.4,724740
Lincoln & Hastings-Kearney NE,2015,6.2,16.6,30.3,0.7,-3.7,1.9,8.5,5.3,0.3,8.0,3.1,8.5,13.5,5.6,85.1,2.2,8.4,0.3,84.1,2.0,729403
Lincoln & Hastings-Kearney NE,2016,6.5,17.0,30.5,0.8,-3.8,1.9,8.6,4.8,0.3,7.9,3.1,7.7,13.5,5.7,84.7,2.2,8.7,0.4,86.5,2.0,732659
Lincoln & Hastings-Kearney NE,2017,6.6,16.8,29.1,0.5,-3.9,1.9,8.6,4.7,0.3,8.1,3.2,7.9,13.5,5.6,84.2,2.2,8.9,0.4,88.9,2.0,736852
Lincoln & Hastings-Kearney NE,2018,6.4,17.2,29.2,0.7,-4.3,1.7,8.5,4.5,0.3,7.8,3.2,8.0,13.5,5.3,83.7,2.3,9.1,0.3,89.7,2.0,739072
Lincoln & Hastings-Kearney NE,2019,6.7,16.5,28.8,0.3,-4.5,1.7,8.2,4.0,0.3,8.0,3.4,8.0,13.5,5.5,83.4,2.3,9.3,0.4,90.3,2.1,740104
Lincoln & Hastings-Kearney NE,2020,7.0,15.4,28.4,-0.1,-4.3,1.4,8.8,4.5,0.3,8.0,3.1,8.1,13.5,5.3,81.9,2.3,10.0,0.3,91.2,2.1,742874
Lincoln & Hastings-Kearney NE,2021,6.6,14.6,28.1,-0.4,-4.5,1.5,8.5,4.4,0.3,8.0,2.6,8.0,13.5,5.2,82.1,2.3,9.9,0.3,92.1,2.0,745999
Lincoln & Hastings-Kearney NE,2022,6.6,14.5,28.1,-0.5,-4.7,1.3,8.4,4.7,0.3,8.1,2.7,8.0,13.5,5.0,81.7,2.3,10.2,0.3,92.9,2.0,745567
Little Rock-Pine Bluff AR,2011,3.0,15.6,29.5,0.1,2.9,4.3,12.4,8.7,0.4,7.0,6.2,10.9,14.2,10.1,73.1,19.5,5.0,0.3,67.9,1.8,1439168
Little Rock-Pine Bluff AR,2012,3.1,13.9,30.3,-0.3,1.9,4.0,11.1,8.9,0.4,7.1,6.2,10.4,14.2,9.3,72.7,19.4,5.0,0.3,67.9,1.8,1445665
