,index,Region,Car CPI
169,2/1/2023,"Baltimore-Columbia-Towson, MD",137.138
170,3/1/2023,"Baltimore-Columbia-Towson, MD",137.138
171,4/1/2023,"Baltimore-Columbia-Towson, MD",139.706
172,5/1/2023,"Baltimore-Columbia-Towson, MD",139.706
173,6/1/2023,"Baltimore-Columbia-Towson, MD",141.298
174,7/1/2023,"Baltimore-Columbia-Towson, MD",141.298
175,8/1/2023,"Baltimore-Columbia-Towson, MD",140.506
176,9/1/2023,"Baltimore-Columbia-Towson, MD",140.506
177,10/1/2023,"Baltimore-Columbia-Towson, MD",138.09
178,11/1/2023,"Baltimore-Columbia-Towson, MD",138.09
179,12/1/2023,"Baltimore-Columbia-Towson, MD",136.382
180,1/1/2024,"Baltimore-Columbia-Towson, MD",136.382
181,2/1/2024,"Baltimore-Columbia-Towson, MD",134.534
182,3/1/2024,"Baltimore-Columbia-Towson, MD",134.534
183,4/1/2024,"Baltimore-Columbia-Towson, MD",134.534
184,5/1/2024,"Baltimore-Columbia-Towson, MD",134.534
185,6/1/2024,"Baltimore-Columbia-Towson, MD",134.534
186,7/1/2024,"Baltimore-Columbia-Towson, MD",134.534
187,8/1/2024,"Baltimore-Columbia-Towson, MD",134.534
188,9/1/2024,"Baltimore-Columbia-Towson, MD",134.534
189,10/1/2024,"Baltimore-Columbia-Towson, MD",134.534
190,11/1/2024,"Baltimore-Columbia-Towson, MD",134.534
191,12/1/2024,"Baltimore-Columbia-Towson, MD",134.534
192,1/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
193,2/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
194,3/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
195,4/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
196,5/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
197,6/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
198,7/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
199,8/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
200,9/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
201,10/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
202,11/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
203,12/1/2017,"Boston-Cambridge-Newton, MA-NH",100.105
204,1/1/2018,"Boston-Cambridge-Newton, MA-NH",103.78
205,2/1/2018,"Boston-Cambridge-Newton, MA-NH",103.78
206,3/1/2018,"Boston-Cambridge-Newton, MA-NH",104.95
207,4/1/2018,"Boston-Cambridge-Newton, MA-NH",104.95
208,5/1/2018,"Boston-Cambridge-Newton, MA-NH",102.925
209,6/1/2018,"Boston-Cambridge-Newton, MA-NH",102.925
210,7/1/2018,"Boston-Cambridge-Newton, MA-NH",106.101
211,8/1/2018,"Boston-Cambridge-Newton, MA-NH",106.101
212,9/1/2018,"Boston-Cambridge-Newton, MA-NH",103.074
213,10/1/2018,"Boston-Cambridge-Newton, MA-NH",103.074
214,11/1/2018,"Boston-Cambridge-Newton, MA-NH",104.487
215,12/1/2018,"Boston-Cambridge-Newton, MA-NH",104.487
216,1/1/2019,"Boston-Cambridge-Newton, MA-NH",106.942
217,2/1/2019,"Boston-Cambridge-Newton, MA-NH",106.942
218,3/1/2019,"Boston-Cambridge-Newton, MA-NH",106.782
219,4/1/2019,"Boston-Cambridge-Newton, MA-NH",106.782
220,5/1/2019,"Boston-Cambridge-Newton, MA-NH",104.01
221,6/1/2019,"Boston-Cambridge-Newton, MA-NH",104.01
222,7/1/2019,"Boston-Cambridge-Newton, MA-NH",103.497
223,8/1/2019,"Boston-Cambridge-Newton, MA-NH",103.497
224,9/1/2019,"Boston-Cambridge-Newton, MA-NH",101.698
225,10/1/2019,"Boston-Cambridge-Newton, MA-NH",101.698
226,11/1/2019,"Boston-Cambridge-Newton, MA-NH",102.885
227,12/1/2019,"Boston-Cambridge-Newton, MA-NH",102.885
228,1/1/2020,"Boston-Cambridge-Newton, MA-NH",105.369
229,2/1/2020,"Boston-Cambridge-Newton, MA-NH",105.369
230,3/1/2020,"Boston-Cambridge-Newton, MA-NH",105.369
231,4/1/2020,"Boston-Cambridge-Newton, MA-NH",105.369
232,5/1/2020,"Boston-Cambridge-Newton, MA-NH",105.346
233,6/1/2020,"Boston-Cambridge-Newton, MA-NH",105.346
234,7/1/2020,"Boston-Cambridge-Newton, MA-NH",105.263
235,8/1/2020,"Boston-Cambridge-Newton, MA-NH",105.263
236,9/1/2020,"Boston-Cambridge-Newton, MA-NH",103.868
237,10/1/2020,"Boston-Cambridge-Newton, MA-NH",103.868
238,11/1/2020,"Boston-Cambridge-Newton, MA-NH",108.971
239,12/1/2020,"Boston-Cambridge-Newton, MA-NH",108.971
240,1/1/2021,"Boston-Cambridge-Newton, MA-NH",108.87
241,2/1/2021,"Boston-Cambridge-Newton, MA-NH",108.87
242,3/1/2021,"Boston-Cambridge-Newton, MA-NH",112.018
243,4/1/2021,"Boston-Cambridge-Newton, MA-NH",112.018
244,5/1/2021,"Boston-Cambridge-Newton, MA-NH",120.889
245,6/1/2021,"Boston-Cambridge-Newton, MA-NH",120.889
246,7/1/2021,"Boston-Cambridge-Newton, MA-NH",129.892
247,8/1/2021,"Boston-Cambridge-Newton, MA-NH",129.892
248,9/1/2021,"Boston-Cambridge-Newton, MA-NH",123.094
249,10/1/2021,"Boston-Cambridge-Newton, MA-NH",123.094
250,11/1/2021,"Boston-Cambridge-Newton, MA-NH",131.202
251,12/1/2021,"Boston-Cambridge-Newton, MA-NH",131.202
252,1/1/2022,"Boston-Cambridge-Newton, MA-NH",135.405
253,2/1/2022,"Boston-Cambridge-Newton, MA-NH",135.405
254,3/1/2022,"Boston-Cambridge-Newton, MA-NH",135.327
255,4/1/2022,"Boston-Cambridge-Newton, MA-NH",135.327
256,5/1/2022,"Boston-Cambridge-Newton, MA-NH",136.123
257,6/1/2022,"Boston-Cambridge-Newton, MA-NH",136.123
258,7/1/2022,"Boston-Cambridge-Newton, MA-NH",139.57
259,8/1/2022,"Boston-Cambridge-Newton, MA-NH",139.57
260,9/1/2022,"Boston-Cambridge-Newton, MA-NH",138.642
261,10/1/2022,"Boston-Cambridge-Newton, MA-NH",138.642
262,11/1/2022,"Boston-Cambridge-Newton, MA-NH",135.159
263,12/1/2022,"Boston-Cambridge-Newton, MA-NH",135.159
264,1/1/2023,"Boston-Cambridge-Newton, MA-NH",134.121
265,2/1/2023,"Boston-Cambridge-Newton, MA-NH",134.121
266,3/1/2023,"Boston-Cambridge-Newton, MA-NH",136.713
267,4/1/2023,"Boston-Cambridge-Newton, MA-NH",136.713
268,5/1/2023,"Boston-Cambridge-Newton, MA-NH",139.35
269,6/1/2023,"Boston-Cambridge-Newton, MA-NH",139.35
270,7/1/2023,"Boston-Cambridge-Newton, MA-NH",142.075
271,8/1/2023,"Boston-Cambridge-Newton, MA-NH",142.075
272,9/1/2023,"Boston-Cambridge-Newton, MA-NH",139.398
273,10/1/2023,"Boston-Cambridge-Newton, MA-NH",139.398
274,11/1/2023,"Boston-Cambridge-Newton, MA-NH",140.406
275,12/1/2023,"Boston-Cambridge-Newton, MA-NH",140.406
276,1/1/2024,"Boston-Cambridge-Newton, MA-NH",136.601
277,2/1/2024,"Boston-Cambridge-Newton, MA-NH",136.601
278,3/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
279,4/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
280,5/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
281,6/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
282,7/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
283,8/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
284,9/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
285,10/1/2024,"Boston-Cambridge-Newton, MA-NH",137.437
